FlightDate,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,Carrier,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,Origin,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,Dest,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DepTime,DepDelay,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ArrTime,ArrDelay,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,Cancelled,CANCELLATION_CODE,Diverted,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,Distance,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,Origin_lat,Origin_long,Dest_lat,Dest_long,Dest_Airport_name
1/1/2025,AA,19805,AA,N454AL,1057,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,1247,1256,9,9,0,0,1200-1259,22,1318,1634,6,1640,1640,0,0,0,0,1600-1659,0,,0,353,344,316,1,2300,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.4353,-112.0078,Phoenix Sky Harbor Intl
1/1/2025,AA,19805,AA,N467AL,2315,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,0648,0640,-8,0,0,-1,0600-0659,22,0702,1026,5,1039,1031,-8,0,0,-1,1000-1059,0,,0,351,351,324,1,2300,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,33.4353,-112.0078,Phoenix Sky Harbor Intl
1/1/2025,AA,19805,AA,N469AN,1397,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1752,1753,1,1,0,0,1700-1759,17,1810,2132,9,2134,2141,7,7,0,0,2100-2159,0,,0,222,228,202,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N543UW,2415,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0800,0753,-7,0,0,-1,0800-0859,12,0805,1007,8,1036,1015,-21,0,0,-2,1000-1059,0,,0,156,142,122,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N563UW,1408,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1755,1750,-5,0,0,-1,1700-1759,18,1808,1913,7,1929,1920,-9,0,0,-1,1900-1959,0,,0,94,90,65,1,280,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,39.8744,-75.2424,Philadelphia Intl
1/1/2025,AA,19805,AA,N725UW,1423,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,1301,1252,-9,0,0,-1,1300-1359,21,1313,1428,4,1448,1432,-16,0,0,-2,1400-1459,0,,0,107,100,75,1,399,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,38.8512,-77.0402,Ronald Reagan Washington National
1/1/2025,AA,19805,AA,N730US,3254,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1617,1624,7,7,0,0,1600-1659,16,1640,1957,25,1944,2022,38,38,1,2,1900-1959,0,,0,267,298,257,1,1562,7,7,0,31,0,0,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AA,19805,AA,N733UW,1427,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,0800,0756,-4,0,0,-1,0800-0859,14,0810,0918,3,0937,0921,-16,0,0,-2,0900-0959,0,,0,97,85,68,1,280,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,39.8744,-75.2424,Philadelphia Intl
1/1/2025,AA,19805,AA,N750UW,2159,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,0701,0654,-7,0,0,-1,0700-0759,12,0706,0815,10,0854,0825,-29,0,0,-2,0800-0859,0,,0,113,91,69,1,399,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,38.8512,-77.0402,Ronald Reagan Washington National
1/1/2025,AA,19805,AA,N751UW,471,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1920,1912,-8,0,0,-1,1900-1959,16,1928,2031,12,2058,2043,-15,0,0,-1,2000-2059,0,,0,98,91,63,1,280,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,39.8744,-75.2424,Philadelphia Intl
